Message Text,Name,Time
\u6587 \uB300\uD1B5\uB839 \uC9C0\uC9C0\uC728 34%\uB85C \uCDE8\uC784\uD6C4 \uCD5C\uC800\u2026\'\uC11C\uC6B8 \uC9C0\uC9C0\uC728 26%\' \u3161\uC544\uC2DC\uC544\uACBD\uC81C\u3161,\uC544\uD14C\uB124KX,11:47 AM
\uAC8C\uC18C\uB9AC \uD574\uC2FC\uB178,\u548C\uC218\uC5F0,11:49 AM
\uC77C\uB3C4 \uC548\uC2DC\uD0A4\uBA74\uC11C \uB108\uB294 \uB3C8 \uC8FC\uACE0 \uD654\uC7A5\uC9C0\uB791 \uACF5\uACF5\uD654\uC7A5\uC2E4\uC774\uB791 \uC138\uAE08\uAC77\uC5B4\uC57C\uD55C\uB370.. \uADF8\uB0E5 \uB098\uAC14\uC73C\uBA74 \uAE30\uBD84\uB098\uBE60,\uBD04,11:49 AM
\uC810\uC2EC\uC740 \uB3FC\uC9C0\uAC08\uBE44 \uBA39\uB294\uB2F9~,\uC544\uD14C\uB124KX,11:49 AM
\uB098\uB9CC \uC544\uB2C8\uBA74 \uB41C\uAC78\uAE4C?,\uD3C9\uD654\uB85C\uC6B4_\uD734\uBA3C,11:49 AM
\uB098\uB9CC \uC798\uC0B4\uBA74 \uB41C\uAC78\uAE4C?,\uD3C9\uD654\uB85C\uC6B4_\uD734\uBA3C,11:49 AM
\uD1A8\uB780\uB2D8 \uD560\uB8FD,\uC54C\uD3F0\uC2A4,11:49 AM
\u314E\u314E\u314E \uD574 \uC6B4 \uB300 \u314E\u314E\u314E \uC5D8\uC2DC\uD2F0\uBC15 \u314E\u314E\u314E \uACF5 \uC57D \uC740 \uC5C6 \uACE0 \u314E\u314E\u314E \uB9E4 \uC77C \u314E\u314E\u314E \uC591 \uD30C \uB9CC \uAE4C \u314E\u314E\u314E,\uC81C\uB85C,11:49 AM
\uB2C8\uAC00 \uCE68\uBAB0\uD558\uC9C0 \uC6B0\uB9AC\uB098\uB77C\uAC00 \uC65C \uCE68\uBAB0\uD574?.......,\uC774\uB098\uBB34,11:49 AM
\uB098\uB9CC \uB3C8\uB9CE\uC73C\uBA74 \uB41C\uAC78\uAE4C?,\uD3C9\uD654\uB85C\uC6B4_\uD734\uBA3C,11:49 AM
\uC624\uB298 \uC11C\uD574\uC218\uD638\uC758 \uB0A0 \uC5B4\uBA38\uB2C8 \uC758 \uB208\uBB3C \u3161 \uC911\uC559\uC77C\uBCF4 \u3161,\uC544\uD14C\uB124KX,11:49 AM
\uBD81\uD55C \uC9C0\uC6D0 \uB531\uB04A\uC5B4,\uAD8C\uC2A4\uD0C0,11:49 AM
\uAD6D\uC9D0 \uC65C \uAD6C \uB4E4 \u314E\u314E\u314E \uBA4D \uBC15 \uC2DC \uC98C 2 \u314E\u314E\u314E \uC885 \uD569 \uBE44 \uB9AC\u314E\u314E\u314E \uC1FC~ \uC448~\uC448~ \u314E\u314E\u314E,\uC81C\uB85C,11:49 AM
\uC54C\uD3F0\uC2A4 \uD560\uB8E8,\uD1A0\uB780\uC774,11:49 AM
\uAD6D\uBBFC\uB4E4\uD55C\uD150 \uC720\uB2C8\uB04C\uB85C \uAC00\uBA74 \uB9E4\uAD6D\uB178\uB77C\uACE0 \uB099\uC778 \uCC0D\uC73C\uBA74\uC11C \uB3C4\uCFC4\uBC15 \uC77C\uBCF8\uD56D\uACF5 \uC8FC\uC2DD 100\uC8FC\uB9E4\uC785,\uC8FC\uC601\uAD11,11:49 AM
\uC5D8\uB871\uC774\uB2E4 \uC778\uB9C8,\u548C\uC218\uC5F0,11:50 AM
\uBD81\uD55C\uC5D0 \uB354 \uD37C\uC8FC\uC790,\u548C\uC218\uC5F0,11:50 AM
\uD55C\uBC18\uB3C4 \uC6B4\uC804\uC790? \uB9D0\uC544\uCCD0\uBA39\uB294\uAC8C \uC678\uAD50?,\uAE40\uB3D9\uC6D0,11:50 AM
\uB3C4\uCFC4\uBC15 \uC77C\uBCF8\uAC00\uB77C \uC81C\uBC1C,\uC8FC\uC601\uAD11,11:50 AM
\u314E\u314E\u314E \uD574 \uC6B4 \uB300 \u314E\u314E\u314E \uC5D8\uC2DC\uD2F0\uBC15 \u314E\u314E\u314E \uACF5 \uC57D \uC740 \uC5C6 \uACE0 \u314E\u314E\u314E \uB9E4 \uC77C \u314E\u314E\u314E \uC591 \uD30C \uB9CC \uAE4C \u314E\u314E\u314E,\uC81C\uB85C,11:50 AM
\uC300\uB3C5\uC5D0\uC11C \uC778\uC2EC\uB09C\uB2E4,\u548C\uC218\uC5F0,11:50 AM
\uC911 \uC54C\uBAB8\uAE40\uCE58 \uC1FC\uD06C .. \uC678\uBA74\uD558\uB294 \uC190\uB2D8 \uC6B8\uACE0\uC2F6\uC740 \uC2DD\uB2F9 \u3161 \uD55C\uAD6D\uC77C\uBCF4 \u3161,\uC544\uD14C\uB124KX,11:50 AM
\uB9C8\uAD6C\uB9C8\uAD6C \uD37C\uC8FC\uC790,\u548C\uC218\uC5F0,11:50 AM
"\uCE5C\uC77C\uD30C \uD6C4\uC190\uB4E4 \uC911, \uC870\uC0C1\uC744 \uBD80\uB044\uB7EC\uC6CC\uD558\uACE0 \uBD80\uB044\uB7EC\uC6B4 \uB9CC\uD07C \uC560\uAD6D\uD558\uB824\uB294 \uBD80\uB958\uB3C4 \uB354\uB7EC \uC788\uAE34 \uD558\uB354\uB77C\uACE0",\uD638\uC2DC\uC6B0\uD589,11:50 AM
\uBD81\uD55C\uC774 \uBBF8\uC0AC\uC77C \uC3F4\uBD88\uBA74 \uC824\uB85C \uBA3C\uC800 \uB098\uC624\uB294 \uC218\uC3E0\uD0F1\uC774 \uB798\uCB50\uC774\uC778\uB370 \uC694\uC0C8\uB294 \uACE0\uBE7C\uAE30\uB3C4 \uC548\uBE44\uCE58\uB354\uB77C\uB294 \u314B\u314B\u314B],\uC194\uB9E4,11:50 AM
\uAD6D\uC815\uB18D\uB2E8 \uBCF8\uB2F9 \uB188\uB4E4\uC774 \uB610 \uC815\uAD8C\uC7A1\uC544 \uBCF4\uAC83\uB2E4\uACE0 ? \u314E\u314E\u314E\u314E \u314E\u314E\u314E\u314E\u314E\u314E \uC815\uC2E0\uCC28\uB824\uB77C \u314E,\uCC99\uC0B4\uB9E4\uAD6D,11:50 AM
\uC788\uC5B4\uC57C \uD37C\uC8FC\uC9C0,\uD1A0\uB780\uC774,11:50 AM
\uB300\uD0C8\uCD9C\uC774 \uB300\uD55C\uBBFC\uAD6D \uD0C8\uCD9C\uC774\uAD6C\uB098 \u314E\u314E\u314E\u314E\u314E\u314E\u314E\u314E,bubble bubble,11:50 AM
\uADF8\uB798\uC57C \uC9C0\uB3C4\uC790\uAE09\uC774 \uB098\uC640,\uD3C9\uD654\uB85C\uC6B4_\uD734\uBA3C,11:50 AM
"\uB3C4\uCFC4\uBC15, \uB3C4\uCFC4\uC9D1 \uB0A8\uD3B8 \uB2E4\uB2C8\uC5D0\uB85C \uC6D0\uC870\uB9AC \uBA85\uC758 \uADF8\uB300\uB85C",\uC8FC\uC601\uAD11,11:50 AM
\uBAA8\uB450 \uBC25\uBB34\uAF2C \uC560\uAD6D\uB4E4 \uD558\uC154\uC694,\uC54C\uD3F0\uC2A4,11:50 AM
\uC5EC\uAE30 \uC3DC\uC801\uB3C4 \uC5C6\uC796\uC544,\uBD04,11:50 AM
\uC798 \uB9CC\uC838\uC11C \uB9CC\uB4E0 \uCD08\uBC25 \uBA39\uC5B4\uC57C\uC9C0,\uC804\uBB38,11:50 AM
\uBBF8\uC0AC\uC77C\uB3C4 \uC3D8\uACE0,\uD1A0\uB780\uC774,11:50 AM
\uC120\uAD00\uC704\uB294 \uBC15\uD615\uC900 \uC628\uAC16\uBE44\uB9AC \uC790\uAE08\uCD9C\uCC98 \uBC1D\uD600\uB77C.... .....,\uACF5\uC218\uCC98,11:50 AM
